file_id,path,first_seen,last_seen,commit_count,touches,bus_factor,sensitivity_score,sensitivity_tags
.kiro/skills/caveman-compress/scripts/__main__.py,.kiro/skills/caveman-compress/scripts/__main__.py,2026-06-08T17:06:36+06:00,2026-06-08T17:06:36+06:00,1,1,1,0.00,
.kiro/skills/caveman-compress/scripts/benchmark.py,.kiro/skills/caveman-compress/scripts/benchmark.py,2026-06-08T17:06:36+06:00,2026-06-08T17:06:36+06:00,1,1,1,0.00,
.kiro/skills/caveman-compress/scripts/cli.py,.kiro/skills/caveman-compress/scripts/cli.py,2026-06-08T17:06:36+06:00,2026-06-08T17:06:36+06:00,1,1,1,0.00,
.kiro/skills/caveman-compress/scripts/compress.py,.kiro/skills/caveman-compress/scripts/compress.py,2026-06-08T17:06:36+06:00,2026-06-08T17:06:36+06:00,1,1,1,0.00,
.kiro/skills/caveman-compress/scripts/detect.py,.kiro/skills/caveman-compress/scripts/detect.py,2026-06-08T17:06:36+06:00,2026-06-08T17:06:36+06:00,1,1,1,0.00,
.kiro/skills/caveman-compress/scripts/validate.py,.kiro/skills/caveman-compress/scripts/validate.py,2026-06-08T17:06:36+06:00,2026-06-08T17:06:36+06:00,1,1,1,0.00,
.kiro/skills/caveman-help/README.md,.kiro/skills/caveman-help/README.md,2026-06-08T17:06:36+06:00,2026-06-08T17:06:36+06:00,1,1,1,0.00,
.kiro/skills/caveman-help/SKILL.md,.kiro/skills/caveman-help/SKILL.md,2026-06-08T17:06:36+06:00,2026-06-08T17:06:36+06:00,1,1,1,0.00,
.kiro/skills/caveman-review/README.md,.kiro/skills/caveman-review/README.md,2026-06-08T17:06:36+06:00,2026-06-08T17:06:36+06:00,1,1,1,0.00,
.kiro/skills/caveman-review/SKILL.md,.kiro/skills/caveman-review/SKILL.md,2026-06-08T17:06:36+06:00,2026-06-08T17:06:36+06:00,1,1,1,0.00,
.kiro/skills/caveman-stats/README.md,.kiro/skills/caveman-stats/README.md,2026-06-08T17:06:36+06:00,2026-06-08T17:06:36+06:00,1,1,1,0.00,
.kiro/skills/caveman-stats/SKILL.md,.kiro/skills/caveman-stats/SKILL.md,2026-06-08T17:06:36+06:00,2026-06-08T17:06:36+06:00,1,1,1,0.00,
.kiro/skills/caveman/README.md,.kiro/skills/caveman/README.md,2026-06-08T17:06:36+06:00,2026-06-08T17:06:36+06:00,1,1,1,0.00,
.kiro/skills/caveman/SKILL.md,.kiro/skills/caveman/SKILL.md,2026-06-08T17:06:36+06:00,2026-06-08T17:06:36+06:00,1,1,1,0.00,
.kiro/specs/staff-operations-v2/.config.kiro,.kiro/specs/staff-operations-v2/.config.kiro,2026-06-07T13:57:57+06:00,2026-06-07T13:57:57+06:00,1,1,1,0.00,
.kiro/specs/staff-operations-v2/design.md,.kiro/specs/staff-operations-v2/design.md,2026-06-07T13:57:57+06:00,2026-06-07T13:57:57+06:00,1,1,1,0.00,
.kiro/specs/staff-operations-v2/requirements.md,.kiro/specs/staff-operations-v2/requirements.md,2026-06-07T13:57:57+06:00,2026-06-07T18:09:04+06:00,2,2,1,0.00,
.kiro/specs/staff-operations-v2/tasks.md,.kiro/specs/staff-operations-v2/tasks.md,2026-06-07T13:57:57+06:00,2026-06-07T13:57:57+06:00,1,1,1,0.00,
.nvmrc,.nvmrc,2026-06-13T15:21:52+06:00,2026-06-13T15:21:52+06:00,1,1,1,0.00,
.tmp-launch-dev.ps1,.tmp-launch-dev.ps1,2026-06-18T19:30:40+06:00,2026-06-18T19:30:40+06:00,1,1,1,0.00,
.tmp-start-dev.bat,.tmp-start-dev.bat,2026-06-18T19:30:40+06:00,2026-06-18T19:30:40+06:00,1,1,1,0.00,
.tmp_master_plan.txt,.tmp_master_plan.txt,2026-06-06T20:42:11+06:00,2026-06-06T20:42:11+06:00,1,1,1,0.00,
.wrangler-config/README.md,.wrangler-config/README.md,2026-06-17T00:07:38+06:00,2026-06-17T00:07:38+06:00,1,1,1,0.00,
.wrangler-config/chunks/ComingSoon_uVxpAChw.mjs,.wrangler-config/chunks/ComingSoon_uVxpAChw.mjs,2026-06-17T00:07:38+06:00,2026-06-17T00:07:38+06:00,1,1,1,0.00,
.wrangler-config/chunks/PageHeader_93CCipe8.mjs,.wrangler-config/chunks/PageHeader_93CCipe8.mjs,2026-06-17T00:07:38+06:00,2026-06-17T00:07:38+06:00,1,1,1,0.00,
.wrangler-config/chunks/RootLayout_-lZcb627.mjs,.wrangler-config/chunks/RootLayout_-lZcb627.mjs,2026-06-17T00:07:38+06:00,2026-06-17T00:07:38+06:00,1,1,1,0.00,
.wrangler-config/chunks/StaffLayout_CdcerS8F.mjs,.wrangler-config/chunks/StaffLayout_CdcerS8F.mjs,2026-06-17T00:07:38+06:00,2026-06-17T00:07:38+06:00,1,1,1,0.00,
.wrangler-config/chunks/StepUpRequired_13j4Wiz0.mjs,.wrangler-config/chunks/StepUpRequired_13j4Wiz0.mjs,2026-06-17T00:07:38+06:00,2026-06-17T00:07:38+06:00,1,1,1,0.00,
.wrangler-config/chunks/_id__D8oks4X1.mjs,.wrangler-config/chunks/_id__D8oks4X1.mjs,2026-06-17T00:07:38+06:00,2026-06-17T00:07:38+06:00,1,1,1,0.00,
